가계수지항목별,1분위-가구분포 (%),소득 (원),가계지출 (원),소비지출 (원),01.식료품 · 비주류음료 (원),02.주류 · 담배 (원),03.의류 · 신발 (원),04.주거 · 수도 · 광열 (원),05.가정용품 · 가사서비스 (원),06.보건 (원),07.교통 (원),08.통신 (원),09.오락 · 문화 (원),10.교육 (원),11.음식 · 숙박 (원),12.기타상품 · 서비스 (원),비소비지출 (원)
2005,20.01,5558888,3969007,2953229,355558,29426,220443,234142,124005,163281,375282,169643,191380,382293,410370,297406,1015778
2006,20.02,5845291,4198023,3084599,356095,31267,226760,237246,121920,177917,435477,170126,198905,397391,414117,317379,1113424
2007,20.01,6235748,4442409,3207585,358940,30404,236937,244861,142477,185613,446370,173230,206303,404168,437237,341045,1234824
2008,20.01,6646779,4611464,3310619,377210,30549,241473,254478,133104,186301,454547,166893,195158,468047,461037,341823,1300845
2009,20.01,6621194,4713861,3418029,386564,29242,239637,261497,150839,201485,473927,165192,210322,535368,441683,322273,1295832
2010,20.01,6913149,4979436,3584005,410546,29734,256683,295490,172004,217199,472251,174261,228880,542946,449346,334666,1395431
2011,20.02,7303126,5112983,3631612,429549,30349,268074,288712,162090,211015,494728,177984,229923,516989,465961,356238,1481371
2012,20.01,7746812,5365376,3801461,440641,29134,288017,306225,172996,223225,543322,194596,252990,512589,477167,360559,1563915
2013,20,7846514,5428664,3818106,438381,28873,296261,317898,183102,229336,526739,194879,256218,504298,493507,348615,1610558
2014,20,8129491,5644215,3986940,438675,30461,288738,324677,197526,229161,601346,190630,260441,529380,524114,371790,1657275
2015,20.06,8176797,5597984,3935118,445758,36590,277234,339127,193079,227084,531158,191767,269403,528391,535604,359922,1662866
2016,20.01,8347922,5687821,3979608,441341,39963,266684,333403,196963,242423,552324,184583,273743,517913,551162,379106,1708213
2017    ,20.06,9290407,6030089,4331931,501601,39358,310000,338986,201840,263925,717825,205082,357713,423578,609093,362930,1698158
2018    ,20.03,8285447,6060083,4283295,530345,38090,287318,328954,211176,267270,671082,200663,401260,415582,589488,342066,1776788
2019    ,20,8449671,6060083,4283295,530345,38090,287318,328954,211176,267270,671082,200663,401260,415582,589488,342066,1776788
