가계수지항목별,1분위-가구분포 (%),소득 (원),가계지출 (원),소비지출 (원),01.식료품 · 비주류음료 (원),02.주류 · 담배 (원),03.의류 · 신발 (원),04.주거 · 수도 · 광열 (원),05.가정용품 · 가사서비스 (원),06.보건 (원),07.교통 (원),08.통신 (원),09.오락 · 문화 (원),10.교육 (원),11.음식 · 숙박 (원),12.기타상품 · 서비스 (원),비소비지출 (원)
2005,20.01,1877815,1765319,1466086,244779,27811,79721,171702,46631,94701,162299,119164,64255,144224,197373,113425,299232
2006,20.01,1942218,1802790,1490741,249222,28755,80912,179220,47535,102853,157133,117669,67012,145548,196999,117884,312049
2007,19.99,2038811,1869899,1550955,243620,28048,83336,181276,51799,108638,167750,120476,69155,178887,203796,114173,318944
2008,20,2146622,1996418,1651229,267377,28207,88021,198748,51645,105246,184741,125614,74763,185653,216811,124403,345189
2009,19.99,2205264,2023136,1653146,261115,25497,88493,197934,49560,121990,170215,122763,73013,183360,218881,140325,369990
2010,19.99,2399893,2183470,1794949,282857,27826,106345,210961,53206,123273,195743,130781,87910,185320,233352,157375,388520
2011,20,2550619,2351710,1919433,302429,28839,115384,227165,63527,121302,221255,134144,88580,208882,241345,166583,432277
2012,20,2713871,2387324,1935429,311966,28600,114987,240455,63575,130321,217384,140480,88727,183011,249228,166693,451895
2013,20,2803754,2475923,2015216,318025,29413,123695,260810,71564,132998,217519,145182,95460,201787,264937,153828,460707
2014,20,2866229,2502206,2022898,319779,28568,125706,249298,75745,134125,219755,142980,100268,200701,271798,154177,479307
2015,19.99,2937876,2529035,2046933,318687,34086,118109,268223,75640,146890,242456,137117,105931,173616,268879,157299,482102
2016,20.02,2914445,2430520,1967639,306273,32955,115416,262931,74367,138525,208806,133750,99480,167602,268129,159404,462881
2017,20,2835502,2153973,1790008,295695,34135,97190,279309,76236,156791,201147,105821,97659,79394,232260,134372,363965
2018,19.99,2861395,2115289,1759682,290839,33304,91367,281311,74508,154352,200259,103943,103875,63250,234142,128531,355607
2019,19.99,2912230,2070778,1683727,256856,32881,82275,274965,74313,156629,169986,92730,102355,73589,236007,131141,387051
